id,word,definition,forms,example,uses,img_prompt
203,currency,The money that is used in a particular country or area.,currencies,The currency of Japan is the Yen.,"foreign currency, local currency, exchange currency","A stack of different colorful banknotes and coins from various countries, clearly showing different symbols and denominations."
204,decade,A period of ten years.,,The band was popular for a decade.,"past decade, next decade, decade of the 1980s","A calendar page showing years from 2020 to 2029, clearly marked as 'One Decade'."
205,deny,To say that something is not true or to refuse to admit that you did something.,"denies, denying, denied, denial","He denied stealing the money, even though everyone saw him do it.","deny a claim, deny responsibility, deny access, deny a request","A person shaking their head with a big 'X' over their face, symbolizing refusal."
206,despite,"Even though something might stop you, you still do it.",none,"Despite the rain, we went for a walk.","despite everything, despite the fact that, despite his efforts","A person smiling and walking forward with determination, holding an umbrella in heavy rain."
207,dimension,"A measurement of something in a particular direction, like length, width, or height. It can also refer to a part or aspect of something.",dimensional,The box has dimensions of 10cm x 20cm x 5cm. Considering the emotional dimension of the problem is important.,"three-dimensional, fourth dimension, spatial dimension, add a new dimension","A cube with labeled sides showing length, width, and height."
208,diverse,Including many different types of people or things.,"diversity, diversify",The school has a diverse group of students from many countries.,"diverse range, culturally diverse, diverse opinions","A group of people with different skin colors, hair styles, and clothing, standing together smiling."
209,draft,A preliminary version of a piece of writing.,"drafts, drafted, drafting",I need to write a first draft of my essay tonight.,"first draft, rough draft, draft proposal","A hand writing on a piece of paper, with several crumpled papers around it, suggesting it's a draft."
210,dramatic,Full of emotion and excitement; like a scene from a play or movie.,"dramatically, drama","She made a dramatic entrance at the party, wearing a long red dress.","dramatic change, dramatic effect, dramatic increase","A person standing on a stage with a spotlight shining on them, making a grand and emotional gesture."
211,dynamic,Something that is constantly changing or active. It has a lot of energy and is always moving or progressing.,dynamically,"The city is a dynamic place, full of life and activity.","dynamic environment, dynamic personality, dynamic economy","A group of diverse people running and jumping forward, symbolizing progress and energy in a vibrant city landscape."
212,emerge,To come out of something or somewhere; to become known or apparent.,"emerged, emerging, emergence",The sun began to emerge from behind the clouds.,"emerge from, emerge as, newly emerged",A small seedling emerging from the soil in a garden.
213,emphasis,Special importance or attention that is given to something.,"emphasize, emphasized, emphasizing",The teacher put emphasis on the importance of doing homework.,"place emphasis, strong emphasis, emphasize the importance",A hand pointing strongly at a word highlighted in bright yellow on a page of text.
214,encounter,"To meet someone unexpectedly or to experience something, often a problem or difficulty.","encounters, encountered, encountering",I encountered an old friend at the grocery store.,"encounter a problem, encounter resistance, first encounter","Two people bumping into each other on a busy street, looking surprised."
215,ensure,To make sure that something will happen.,"ensured, ensuring",Please ensure that all doors are locked before leaving.,"ensure safety, ensure quality, ensure compliance","A hand turning a key in a lock, symbolizing the act of making something secure and guaranteed."
216,entitle,To give someone the right to have or do something.,"entitlement, entitled",Having a ticket doesn't entitle you to a better seat.,"entitle to, feel entitled, legally entitled",A person holding a golden key that unlocks a door labeled 'Privileges'.
217,estimate,"To make a guess about the size, cost, or amount of something.","estimation, estimated",I estimate it will take about two hours to finish the project.,"estimate cost, rough estimate, accurate estimate","A person holding a calculator and looking at a house blueprint, calculating the building cost."
218,evident,Easy to see and understand; obvious.,"evidence, evidently",It was evident that she was happy because she was smiling.,"evident fact, evident truth, become evident","A magnifying glass focusing on a footprint in the sand, making it very clear."
219,exploit,"To use someone or something in a way that is unfair or selfish, often for your own benefit.","exploitation, exploitable",The company was exploiting its workers by making them work long hours for very little pay.,"exploit resources, exploit a situation, exploit workers","A large factory with smokestacks towering over tiny, overworked figures."
220,expose,"To show something that was hidden, or to make something known.","exposure, exposed, exposing",The sun can expose your skin to harmful rays.,"expose a secret, expose a problem, expose someone to danger","A curtain being pulled back to reveal a bright, sunny landscape."
221,extract,"To remove or take something out, often by force or with effort.","extraction, extractor",They extract juice from oranges.,"extract information, extract a tooth, extract resources",A close-up of a hand using a tool to pull a bright red strawberry from a leafy green plant.
222,factor,Something that affects a situation or decision. It's a reason or cause that contributes to a result.,factors,The weather was a major factor in our decision to cancel the picnic.,"key factor, important factor, contributing factor, risk factor",A set of scales with a large weight labeled 'Weather' tipping the balance against smaller weights representing other considerations.
223,flexible,"Able to bend easily without breaking; also, able to change or adapt to new situations.",flexibility,"The yoga instructor was very flexible. Our plans are flexible, so we can change them if needed.","flexible schedule, flexible material, flexible approach","A person doing a yoga pose, bending their body into a flexible position."
224,identical,Exactly the same; alike in every way.,"identity, identically",The two cars are identical in color and model.,"identical twins, identical copies, virtually identical",Two identical red apples sitting side-by-side on a table.
225,impact,A strong effect or influence on something or someone.,"impactful, impacted, impacting",The new law will have a big impact on the environment.,"major impact, significant impact, positive impact, negative impact, impact assessment","A large ball hitting a wall, creating a visible crack."
226,initial,Coming at the beginning; first.,"initially, initiate",My initial reaction was surprise.,"initial impression, initial stage, initial investment","A large letter 'I' at the beginning of a sentence, much bigger than the other letters."
227,input,Information or data that is put into a computer or a system.,"inputs, inputted, inputting",Please input your password to log in.,"input data, input device, input method","A keyboard with a hand typing on it, with the word 'INPUT' appearing on the screen."
228,instance,A particular example or single occurrence of something.,instances,This website is a good instance of how technology can help people.,"for instance, in this instance, clear instance",A single red apple standing out among a group of green apples.
229,institute,"An organization or place devoted to a specific purpose, especially research or education.","institution, institutional",The research institute is dedicated to finding a cure for cancer.,"research institute, educational institute, institute a policy, institute proceedings",A grand building with columns and a sign that reads 'Institute of Scientific Research'.
230,label,A piece of paper or other material that is attached to something and gives information about it.,"labels, labeled, labeling",The label on the bottle tells you what's inside.,"product label, price label, clothing label, to label something",A close-up of a jar with a handwritten label tied to it with twine.
231,layer,"A single thickness of a material or substance, spread out or covering a surface.","layered, layering",The cake had three layers of sponge with cream in between.,"layer of paint, layer of clothing, layer of security",A slice of a colorful layered cake showing distinct layers of different colors.
232,lecture,A talk or speech given to a group of people to teach them about a particular subject.,"lectures, lecturing, lectured",The professor gave a fascinating lecture on the history of science.,"attend a lecture, give a lecture, lecture hall, guest lecture","A professor standing at a podium in a lecture hall, speaking to students who are taking notes."
233,legal,Allowed by law; something that follows the rules of a country or area.,"legally, legality",It is legal to drive at 16 in some countries.,"legal advice, legal action, legal document","A gavel hitting a sound block in a courtroom, symbolizing law and justice."
234,manual,"Done or operated by hand. Also, a book that gives instructions about how to use something.",manually,"The car has a manual transmission, so you need to use the clutch.","manual labor, instruction manual, manual control","A person's hands using a wrench to tighten a bolt, illustrating work done by hand."
235,mature,Fully grown or developed. When a person acts responsibly like an adult.,maturity,She is very mature for her age. The apples are mature and ready to pick.,"mature cheddar, mature audience, mature tree, mature behavior","A tree with ripe, red apples hanging from its branches, ready to be harvested."
236,network,"A group of things that are connected and work together. It can be people, computers, or roads.","networking, networked",I use a computer network to share files with my colleagues.,"social network, computer network, road network","A simple illustration showing several computers connected to each other with lines, representing a computer network."
237,nevertheless,Despite something that has just been mentioned. It means 'in spite of that' or 'however'.,,"It was raining; nevertheless, we went for a walk.","nevertheless, I believe; nevertheless, it is important; nevertheless, the study showed","A person holding an umbrella in the rain, but smiling and walking forward confidently."
238,obvious,Easy to see or understand; clear.,obviously,It's obvious that he is tired because he keeps yawning.,"obvious choice, obvious mistake, obvious sign","A lightbulb brightly illuminated above a person's head, symbolizing a clear and obvious idea."
239,overall,Including or considering everything; in general.,,"Overall, I think it was a good meeting.","overall impression, overall cost, overall effect","A bird's-eye view of a cityscape, showing all the buildings and streets together."
240,passive,"If someone is passive, they don't actively do things or show their feelings. They let things happen to them.","passively, passivity",He was too passive and didn't stand up for himself.,"passive role, passive income, passive resistance","A person sitting on a bench while opportunities and events pass them by, without them reacting or participating."
241,period,"A length of time; an amount of time. Also, the punctuation mark (.) at the end of a sentence.",periods,The school day is divided into several periods. / Put a period at the end of the sentence.,"time period, menstrual period, period of history, end of period","A calendar page showing a marked block of time, with a large red circle around it. / A large period punctuation mark at the end of a sentence."
242,phase,A stage in a process or in the development of something.,phases,The project is in its final phase.,"a phase of life, a testing phase, go through a phase","A series of images showing a caterpillar transforming into a butterfly, illustrating different phases of development."
243,philosophy,"The study of fundamental questions about existence, knowledge, values, reason, mind, and language.","philosophies, philosophical, philosopher",She studied philosophy at university to understand the meaning of life.,"moral philosophy, political philosophy, philosophy of science, personal philosophy","An old man with a long beard sitting under a tree, deeply thinking with a book in his lap."
244,policy,"A set of rules or a plan that is used as a guide for making decisions, especially in a government, business, or organization.",policies,The company has a strict policy against using social media during work hours.,"company policy, government policy, insurance policy, foreign policy","A document labeled 'Policy' with a gavel resting on top, symbolizing rules and decisions."
245,portion,"A part or share of something, like food or money, that is given to someone or that belongs to them.",portions,He ate a large portion of pizza.,"generous portion, small portion, equal portions, portion control","A plate with a clearly defined slice of cake, representing a single serving or portion."
246,potential,The possibility that something can develop or happen in the future.,potentially,This student has a lot of potential to become a great scientist.,"potential benefits, potential risks, potential customer","A small seedling growing out of the earth, with sunlight shining on it, symbolizing future growth."
247,precise,Very accurate and exact; not general.,"precisely, precision",The scientist took precise measurements of the chemical reaction.,"precise details, precise instructions, precise timing",A close-up of a ruler measuring a line with extreme accuracy.
248,previous,Happening or existing before the one you are talking about.,previously,"I had a previous appointment, so I couldn't meet you earlier.","previous experience, previous owner, previous year",A calendar page being turned back to the month before the current one.
249,primary,Most important; main.,primarily,My primary goal is to finish my studies.,"primary school, primary care, primary color","A large, highlighted '1' to represent 'primary' as the first or most important."
250,priority,Something that is most important and needs attention before anything else.,priorities,My priority is to finish my homework before I watch TV.,"high priority, top priority, set priorities",A to-do list with the first item clearly marked as 'Priority #1' with a star.
251,prohibit,"To officially stop something from being done, used, or allowed.","prohibition, prohibited, prohibiting",The school prohibits students from using their phones during class.,"prohibit smoking, strictly prohibit, prohibit access","A large red stop sign placed over a cigarette, clearly indicating that smoking is not allowed."
252,range,A set of numbers or values that have a lowest and highest limit.,ranges,The price of the product is in the range of $10 to $20.,"wide range, age range, price range",A number line showing values from 10 to 20 highlighted within a bracket.
253,recover,"To get back to a normal state of health, mind, or strength after being sick, injured, or troubled.","recovery, recoverable",It took her a few weeks to recover from the flu.,"recover from, fully recover, quick recovery, economic recovery","A person in bed gradually sitting up, looking healthier and more energetic each day, symbolizing recovery from illness."
254,region,"A region is a specific area or part of a country, the world, or a town.",regional,The southern region of Italy is famous for its beaches.,"region of the country, region of the world, coastal region, mountainous region",A map highlighting a specific area with a distinct color to represent a region.
255,relevant,Connected with or important to what is happening or being discussed.,,Her experience is relevant to the job.,"relevant information, highly relevant, directly relevant, relevant experience",A magnifying glass focusing on a document labeled 'Important Information' among many scattered papers.
256,formulate,"To create or prepare something carefully, like a plan or a recipe. It means to develop something in a clear and detailed way.",formulation,The scientists had to formulate a new hypothesis after their experiment failed.,"formulate a plan, formulate a strategy, formulate a recipe",A person carefully writing a detailed plan with steps and arrows on a whiteboard.
257,role,The part you play or the job you have in a particular situation.,roles,My role in the play is the friendly neighbor.,"play a role, key role, important role","A person wearing different hats, each representing a different job or responsibility."
258,series,A number of similar things that happen or come one after another.,series (plural is also series),I'm watching a series of documentaries about nature.,"TV series, book series, a series of events, winning series","A stack of books, each with a different number indicating its order in the series, such as 'Book 1', 'Book 2', 'Book 3'."
259,strategy,"A plan or method for achieving a specific goal, often involving multiple steps or actions.","strategies, strategic, strategically",Our company's strategy is to increase sales by 20% this year.,"business strategy, marketing strategy, military strategy, long-term strategy","A chess board with pieces arranged in a strategic formation, highlighting the concept of planning and tactics."
260,substitute,To use something or someone instead of another thing or person.,"substitution, substituted, substituting",You can substitute margarine for butter in this recipe.,"substitute teacher, substitute player, substitute ingredient",A chef replacing a stick of butter with a tub of margarine while baking.
261,sufficient,Enough; as much as is needed.,sufficiency,We have sufficient food for the party.,"sufficient funds, sufficient evidence, sufficient time",A hand holding just enough water to fill a glass to the brim.
262,summary,"A short statement that gives the main points of something (like a book, article, or speech).","summarize, summaries, summarizing, summarized",I wrote a summary of the book after I finished reading it.,"executive summary, brief summary, in summary, provide a summary","A notepad with a short paragraph of text titled 'Summary' at the top, with bullet points highlighting key information."
263,accuracy,How correct or exact something is.,"accurate, accurately",The accuracy of the clock is very important for the experiment.,"high accuracy, improve accuracy, test accuracy","A dart hitting the bullseye of a dartboard, symbolizing precision and correctness."
264,ambition,A strong desire to achieve something great or important.,ambitious,Her ambition is to become a successful doctor.,"burning ambition, political ambition, personal ambition",A person climbing a very tall mountain with a flag at the summit.
265,analysis,A careful examination of something to understand it better.,"analyses, analyze, analyzing, analysed",The scientist did an analysis of the water sample to check for pollution.,"data analysis, detailed analysis, in-depth analysis, market analysis","A person looking at a graph with rising lines, using a magnifying glass."
266,application,"A formal request to an authority for something, such as a job, admission to a school, or a loan. It can also be a computer program designed for a specific task.","applications, applicable, apply",She submitted her application for the job online. / I use a weather application on my phone.,"job application, application form, application process, mobile application","A person filling out a job application form with a pen, with a laptop displaying an online application form in the background."
267,background,The area or things behind the main thing you are looking at. It can also mean someone's past experiences or history.,,"I like the flowers in the foreground, but the mountains in the background are beautiful too. Her family background is very interesting.","in the background, background music, family background, historical background","Like a person, and blurred trees and mountains in the background."
268,capacity,"The amount of something that a place can hold, or the ability to do something.",,"The stadium has a capacity of 50,000 people. / She has a great capacity for learning languages.","maximum capacity, holding capacity, capacity to learn, capacity for work","A large stadium filled with cheering fans."
269,commitment,A promise to do something or to behave in a particular way.,commit,She has a strong commitment to her job and always works hard.,"make a commitment, strong commitment, personal commitment, time commitment",A person signing a contract with a determined expression.
270,consequence,Something that happens as a result of an action. It can be good or bad.,"consequences, consequential","If you don't study, the consequence might be a bad grade.","face the consequences, serious consequences, direct consequence","A domino effect, starting with one domino falling and leading to a chain reaction of other dominoes falling."
271,consideration,Careful thought about something before making a decision.,"consider, considerable, considering","After careful consideration, I decided to accept the job offer.","take into consideration, under consideration, give consideration to","A person sitting at a desk, thoughtfully looking at a document with a magnifying glass."
272,content,"The information or ideas that are in a book, movie, website, etc.",contents,The content of the book was very interesting.,"content creator, content marketing, table of contents","A person reading a book with words and pictures floating out of it, representing the information inside."
273,context,"The situation, events, or information that are related to something and that help you understand it.",,"To understand the story, you need to know the context.","in context, out of context, historical context, cultural context","An open book with magnifying glass focusing on a paragraph, surrounded by related historical artifacts and maps."
274,contribution,Something that you give or do to help make something successful.,"contribute, contributor",Her contribution to the project was very important.,"make a contribution, significant contribution, valuable contribution",A group of diverse hands placing puzzle pieces together to complete a picture.
275,criticism,"Expressing disapproval of someone or something, often pointing out faults or mistakes.","criticize, critic, critical",The movie received a lot of criticism from reviewers.,"constructive criticism, face criticism, invite criticism",A person pointing a finger at a document with a disapproving facial expression.
276,definition,"The meaning of a word, phrase, or symbol. It explains what something is or what it means.",definitions,The definition of 'happy' is feeling pleasure or joy.,"clear definition, dictionary definition, precise definition, working definition","An open dictionary with the word 'definition' highlighted, and an arrow pointing to the explanation of the word."
277,delivery,"The act of bringing something (like a package, food, or mail) to a person or place.","deliver, deliveries, delivered, delivering",Our pizza delivery was very fast tonight.,"food delivery, package delivery, on-time delivery, make a delivery",A delivery person in uniform holding a package at a front door.
278,description,A statement that gives details about someone or something. It tells you what they are like.,descriptions,The job description outlined the responsibilities of the role.,"detailed description, physical description, brief description",A person writing notes while carefully observing a detailed drawing of a flower.
279,determination,The quality of trying to do something even when it is difficult.,"determinate, determine, determinedly",Her determination to finish the marathon was inspiring.,"show determination, strong determination, determination to succeed","A person with a determined expression climbing a steep mountain, reaching for the summit."
280,difficulty,When something is hard to do or understand; a problem.,"difficult, difficulties",I had difficulty understanding the instructions.,"have difficulty, face difficulty, overcome difficulty","A person struggling to climb a steep hill, representing a challenge."
281,direction,"The path along which someone or something moves, faces, or lies. It can also be guidance or instructions on how to do something.","directions, directional, directionless",The sign gave us the direction to the museum.,"give direction, change direction, in the direction of, under the direction of",A compass pointing north with a clear arrow indicating the direction.
282,discussion,A conversation about a particular topic where people share their ideas and opinions.,discussions,"After the presentation, we had a long discussion about the project's future.","have a discussion, open discussion, in discussion with, discussion forum","A group of people sitting around a table, talking and gesturing with their hands."
283,effect,A result or consequence of something. It's what happens because of something else.,"effects, effective, effectively",The medicine had a positive effect on her health.,"cause and effect, have an effect, side effect, positive effect, negative effect","A domino effect, with one domino knocking over a line of others."
284,effort,The work or energy you put into doing something.,efforts,He made a big effort to finish the project on time.,"make an effort, put in effort, considerable effort, joint effort",A person sweating while lifting a heavy barbell at the gym.
285,environment,"The surroundings or conditions in which a person, animal, or plant lives or operates.","environmental, environmentally",We should protect the environment from pollution.,"natural environment, work environment, learning environment, protect the environment","A lush green forest with clean air and sunlight filtering through the trees, illustrating a healthy environment."
286,equipment,Tools or machines that you need for a particular activity.,,The gym has a lot of exercise equipment.,"sports equipment, office equipment, safety equipment","A collection of various tools neatly arranged on a workbench, including a hammer, wrench, screwdriver, and pliers."
287,evidence,"Facts, objects, or signs that show that something exists or is true.",evidential,The police found evidence that proved he was at the crime scene.,"scientific evidence, provide evidence, strong evidence, lack of evidence","A magnifying glass over a fingerprint on a document, symbolizing proof."
288,explanation,A statement or account that makes something clear; a reason or justification.,explanations,The teacher gave a clear explanation of the math problem.,"detailed explanation, simple explanation, offer an explanation",A teacher pointing to a whiteboard with a complex equation being broken down into simpler parts with arrows and labels.
289,expression,A look on someone's face that shows their feelings or thoughts.,"expressions, expressive, expressively",The expression on her face showed that she was very surprised.,"facial expression, common expression, to give expression to",A close-up of a person's face with wide eyes and a surprised expression.
290,improvement,When something gets better or when you make something better.,"improve, improves, improved, improving",There has been a big improvement in my English since I started taking classes.,"significant improvement, slight improvement, continuous improvement, room for improvement","A graph showing an upward trending line, indicating progress and positive change."
291,intention,A plan or desire to do something.,"intentional, intentionally",Her intention was to surprise her friend with a party.,"good intention, original intention, express intention",A person pointing an arrow towards a target with a determined look.
292,introduction,The act of presenting someone or something for the first time. It's like saying 'hello' and giving some basic information.,"introductions, introductory",The book has a long introduction that explains what it's about.,"introduction to, brief introduction, formal introduction","A person shaking hands with another person, with a speech bubble above them saying 'Hello, I'm...'."
293,investigation,"A careful search or examination in order to discover facts, especially about a crime or problem.","investigate, investigator, investigating",The police are carrying out an investigation into the robbery.,"conduct an investigation, launch an investigation, thorough investigation, criminal investigation",A detective holding a magnifying glass over a footprint at a crime scene.
294,endure,To experience something difficult or painful for a long time.,"endurance, enduring",The pioneers had to endure many hardships on their journey.,"endure hardship, endure pain, endure suffering, long endure",A lone tree standing strong against a powerful storm.
295,clarify,To make something easier to understand by giving more details or a simpler explanation.,"clarification, clarifies, clarifying",Could you clarify what you mean by that?,"clarify a statement, clarify a situation, clarify the meaning","A light bulb illuminating a question mark, making it clear and easy to see."
296,hesitate,"To pause or be slow in acting, speaking, or deciding because you feel unsure or nervous.","hesitation, hesitatingly",She hesitated before answering the question because she wasn't sure of the correct answer.,"hesitate to do something, hesitate for a moment, without hesitation","A person standing at a crossroads, looking unsure and pausing before choosing a path."
297,imply,To suggest something without saying it directly. It's like hinting at something.,"implies, implied, implying, implication","His tone implied that he was unhappy, even though he didn't say it.","imply a meaning, imply consent, strongly imply","A person winking with a finger pointing to their lips, suggesting a secret."
298,perceive,"To notice or become aware of something using your senses (like sight, hearing, smell, taste, or touch). It means to understand or think of something in a particular way.","perception, perceived, perceiving",I perceive a change in her attitude towards me.,"perceive as, perceive the world, easily perceived","A close-up of an eye looking through a magnifying glass at a small object, symbolizing observation and understanding."
299,manipulate,To control or influence someone or something cleverly or unfairly.,"manipulation, manipulator",He tried to manipulate his friends into doing what he wanted.,"manipulate data, manipulate a situation, emotionally manipulate",A hand using strings to control a puppet.
300,postpone,To decide that something will be done at a later time.,postponement,The meeting was postponed until next week because the manager was sick.,"postpone a meeting, postpone a decision, postpone an event","A calendar with a large red 'X' over today's date, and an arrow pointing to a future date."
